Synset('steal.v.01')	stolen stole stealing
Synset('enterprise.n.02')	enterprise enterprises
Synset('indicator.n.04')	indicator indicators
Synset('injury.n.05')	injuries injury
Synset('mechanism.n.05')	mechanism mechanisms
Synset('inch.n.01')	inches inch
Synset('levy.v.01')	imposed impose
Synset('open.n.01')	clears clear
Synset('give.v.03')	give gave giving
Synset('admit.v.01')	admit acknowledge acknowledged acknowledging acknowledges
Synset('daniel.n.03')	daniels daniel
Synset('station.n.03')	station stations
Synset('committee.n.01')	committee committees
Synset('influenza.n.01')	influenza flu
Synset('rise.n.02')	ascension rise rises
Synset('discourage.v.02')	discourage discouraged
Synset('induction.n.02')	induction inductance
Synset('antihistamine.n.01')	antihistamines antihistamine
Synset('hearing.n.01')	hearings hearing
Synset('commercial_enterprise.n.02')	business businesses
Synset('tidal_bore.n.01')	eager bore
Synset('missile.n.01')	missile missiles
Synset('realize.v.06')	realised realise realizes realized realizing realize
Synset('personal_computer.n.01')	pcs pc microcomputer
Synset('surrogate.n.01')	replacements replacement
Synset('emerge.v.04')	emerge emerged emerging
Synset('sister.n.01')	sisters sister
Synset('concentration.n.01')	concentrations concentration
Synset('bring.v.10')	brings brought bring
Synset('improvement.n.02')	improvement improvements
Synset('ammunition.n.01')	ammunition ammo
Synset('build.v.07')	built build builds building
Synset('trim.v.06')	dress dressed
Synset('order.v.06')	ordering order
Synset('large.a.01')	larger big largest biggest large bigger
Synset('date.v.01')	date dated dates
Synset('involve.v.06')	involved involves involve involving
Synset('requirement.n.01')	requirements requirement
Synset('dollar.n.01')	dollars dollar
Synset('ringer.n.02')	clones clone
Synset('filename.n.01')	filename filenames
Synset('injury.n.04')	injuries injury
Synset('tripper.n.04')	trip trips
Synset('shaping.n.01')	defining shaping
Synset('personnel_casualty.n.01')	loss losses
Synset('balcony.n.02')	balconies balcony
Synset('stand.v.06')	stands standing stood stand
Synset('service.n.04')	service services
Synset('spill.v.06')	spill spilled
Synset('bombard.v.02')	bombs bombing bombed bombard bomb
Synset('ban.v.02')	banned ban
Synset('main.n.02')	mains main
Synset('personality.n.01')	personality personalities
Synset('participation.n.02')	participation involvement
Synset('ground.v.07')	grounds ground grounded grounding
Synset('think.v.11')	thought thinking
Synset('peer.n.02')	peer peers
Synset('panel.n.04')	panels panel
Synset('equate.v.02')	equate equated equating
Synset('oxygen.n.01')	os oxygen
Synset('suppress.v.01')	conquer conquered suppress suppressed
Synset('hook.n.04')	claws hook
Synset('compose.v.04')	compiled compile compose
Synset('department.n.02')	departments department
Synset('explosion.n.02')	bursts burst
Synset('justification.n.01')	justifications justification
Synset('order.v.05')	ordered ordering order
Synset('nationality.n.01')	nationality nationalities
Synset('release.v.09')	releasing release freed free liberate liberated released
Synset('driver.n.04')	driver drivers
Synset('shift.v.05')	shifted shifting
Synset('meet.v.09')	meets meet meetings met meeting
Synset('sister.n.02')	sisters sister
Synset('edge.n.06')	edge edges
Synset('wing.n.02')	wings wing
Synset('disadvantage.n.01')	disadvantage disadvantages
Synset('demonstration.n.05')	demos demo
Synset('insult.n.02')	insults insult
Synset('mask.v.02')	masks mask
Synset('gauge.v.03')	gauge gauges
Synset('decision.n.03')	decision decisions
Synset('ratio.n.01')	ratios ratio
Synset('weakness.n.03')	weakness weaknesses
Synset('committedness.n.01')	commitments commitment
Synset('give.v.01')	give gave giving
Synset('tour.n.01')	tours tour
Synset('sport.v.01')	featured feature sports featuring boast sport boasted
Synset('rabbit.n.01')	rabbits rabbit
Synset('initiate.v.03')	initiate initiated initiating
Synset('roll_up.v.02')	compile accumulate collected collect accumulated
Synset('prompt.v.02')	inspire prompted inspired
Synset('fry.v.02')	fry fried
Synset('film_director.n.01')	director directors
Synset('rite.n.01')	rites rite
Synset('sunburn.v.01')	burn burnt burned burns
Synset('stigmatize.v.01')	marked brands denounced brand mark
Synset('concentration.n.03')	concentrations concentration
Synset('hospital.n.02')	hospitals hospital
Synset('call.v.19')	call called calls
Synset('disprove.v.01')	disproving disproved disprove
Synset('suggestion.n.01')	suggestion suggestions
Synset('grain.n.02')	cereal cereals
Synset('crack.v.01')	checking crack checked cracks check cracking cracked
Synset('analyst.n.02')	analysts analyst
Synset('path.n.02')	path paths
Synset('agent.n.02')	agent agents
Synset('show.n.01')	shows show
Synset('time_interval.n.01')	intervals interval
Synset('root.n.01')	root roots
Synset('quantify.v.02')	quantify measured
Synset('weekend.n.01')	weekends weekend
Synset('notice.v.04')	notices acknowledge acknowledged noticed noticing acknowledges notice
Synset('stranger.n.02')	stranger strangers
Synset('trouble_oneself.v.01')	bothering bother bothers trouble troubled troubles troubling bothered
Synset('shape.v.03')	forming form shape formed
Synset('yank.v.01')	yanked jerk yanks
Synset('playoff.n.01')	playoff playoffs
Synset('testify.v.01')	testified testify
Synset('word.n.07')	words word
Synset('overstate.v.01')	magnified exaggerated amplified amplify
Synset('date.v.03')	date dating dates
Synset('surround.v.01')	surrounding border surrounded ringing environs borders rang
Synset('pursuit.n.01')	pursuit chase
Synset('routine.n.01')	routine routines
Synset('turk.n.01')	turks turk
Synset('enterprise.n.01')	enterprise endeavor endeavour enterprises
Synset('fuel.n.01')	fuel fuels
Synset('move.n.01')	move moves
Synset('act.v.08')	act acted acts acting
Synset('ingredient.n.03')	ingredient ingredients
Synset('muscleman.n.01')	muscles muscle
Synset('manage.v.02')	handles cares deal dealing manages handle manage caring cared managed deals handled dealt managing handling care
Synset('intestine.n.01')	intestine gut bowel intestines
Synset('handlebar.n.01')	handlebars handlebar
Synset('observation.n.01')	observation observations
Synset('seat.v.02')	seat seating
Synset('commanding_officer.n.01')	commander commanders
Synset('waste.v.08')	wasting wasted
Synset('silencer.n.02')	mufflers muffler
Synset('draw.v.06')	drawing drawn
Synset('demand.n.02')	demand demands
Synset('environment.n.01')	environment environments
Synset('sequence.v.02')	sequence sequencing
Synset('single.n.01')	single singles
Synset('copy.n.02')	copies copy
Synset('quality.n.01')	qualities quality
Synset('spike.n.02')	spikes spike
Synset('record.v.01')	entering record recording enter entered
Synset('pitch.n.01')	pitches pitch
Synset('donate.v.01')	donated donate
Synset('low.a.02')	low lower lowest
Synset('militant.n.01')	activists militants militant
Synset('system.n.06')	system systems
Synset('reference.v.01')	referencing referenced
Synset('termination.n.01')	termination expiration
Synset('message.v.01')	messages message
Synset('sweep.v.03')	sweep swept
Synset('slowdown.n.01')	slowdowns slowdown
Synset('remark.n.01')	input comments remark comment remarks
Synset('broadcast.n.01')	broadcast broadcasts
Synset('pregnancy.n.01')	maternity pregnancy
Synset('generate.v.01')	generates generated generating generate
Synset('burn.n.03')	burn burns
Synset('face.n.05')	face faces
Synset('acronym.n.01')	acronyms acronym
Synset('player.n.04')	players player
Synset('homicide.n.01')	homicide homicides
Synset('zero.n.02')	cipher 0s cypher ciphers
Synset('bottle.n.01')	bottles bottle
Synset('sow.v.01')	seed seeds
Synset('wiretap.v.01')	bugs bug intercept bugging intercepts intercepted
Synset('rabbit.n.03')	rabbit hare
Synset('control.n.05')	controls control
Synset('prize.n.01')	award awards prizes prize
Synset('defend.v.02')	defend defending defended
Synset('arch.n.04')	arch arches
Synset('construct.v.03')	constructing constructed construct constructs
Synset('adjust.v.05')	adjust adjusted adjusting
Synset('scripture.n.02')	scriptures scripture
Synset('disagreement.n.03')	disagreement disagreements
Synset('finance.v.01')	financing finance financed
Synset('equation.n.01')	equations equation
Synset('design.v.07')	design designed
Synset('whistle.v.05')	singing sing
Synset('buzz.v.01')	buzzing buzz
Synset('temple.n.01')	temples temple
Synset('hammer.n.02')	hammer hammers
Synset('exit.n.03')	exit exits
Synset('leg.n.01')	legs leg
Synset('receive.v.02')	obtain obtained obtaining
Synset('watt.n.02')	watts watt
Synset('impute.v.01')	attributed assigned attribute
Synset('neon.n.01')	neon ne
Synset('communication.n.01')	communicating communication
Synset('valve.n.01')	valves valve
Synset('tribe.n.03')	tribe tribes
Synset('rifle.n.01')	rifles rifle
Synset('pitch.n.02')	delivery pitches pitch
Synset('learning.n.01')	learning acquisition
Synset('end.v.04')	ended end
Synset('appeal.n.03')	appeals appeal
Synset('qualification.n.01')	qualifications qualification making
Synset('walk.v.05')	walked walking
Synset('office.n.01')	offices office
Synset('reserve.v.04')	holding books held reserved book reserve hold
Synset('insufficient.a.01')	insufficient deficient
Synset('taiwan.n.01')	taiwan china
Synset('wax.v.02')	risen mounting rose climbed wax
Synset('testimony.n.03')	testimonial testimony testimonies
Synset('nasty.a.01')	awful nasty
Synset('security_service.n.01')	mis mi
Synset('fall.v.03')	fell falling falls fallen fall
Synset('score.v.06')	scoring scored
Synset('run.v.03')	pass leading led run lead extended extend passes extends leads passing passed extending
Synset('metallic_element.n.01')	metal metals
Synset('toy_dog.n.01')	toys toy
Synset('unit.n.03')	unit units
Synset('warrant.n.02')	warrants warrant
Synset('raise.v.01')	raising raise
Synset('resemble.v.01')	resembles resembling resemble
Synset('face.n.04')	face faces
Synset('volunteer.v.03')	volunteer volunteers
Synset('veil.v.01')	veil veiled
Synset('apple.n.01')	apple apples
Synset('convert.v.01')	converted converting convert converts
Synset('witness.n.04')	witness witnesses
Synset('persecute.v.01')	persecuted persecute
Synset('projection.n.06')	projections projection
Synset('victor.n.01')	superior victor masters master
Synset('command.n.03')	command commands
Synset('rowing.n.01')	row rows
Synset('refute.v.02')	refute refuted rebut
Synset('vice.n.02')	vice vices
Synset('riot.v.01')	riots riot
Synset('receive.v.01')	receiving receive received receives
Synset('implement.n.01')	implements implement
Synset('stone.n.02')	stones stone
Synset('ordain.v.01')	ordained enacted ordain enact
Synset('communication.n.02')	communications communication
Synset('valve.n.02')	valves valve
Synset('legal_action.n.01')	action actions
Synset('strategy.n.02')	strategies strategy
Synset('break.v.19')	broke breaking
Synset('college.n.03')	college colleges
Synset('misplace.v.01')	lost lose loses misplaced losing
Synset('ring.v.06')	ringing rings ring band rang
Synset('rent.v.04')	leasing rented hire hiring hires charter hired lease rent
Synset('sign.n.06')	signs sign
Synset('luck.n.02')	hazards fortune luck chance chances hazard
Synset('proclaim.v.01')	proclaim proclaimed proclaiming
Synset('rid.v.01')	freed rid
Synset('size.n.01')	size sizes
Synset('woof.n.01')	filling pick woof picks
Synset('distance.n.01')	distances distance
Synset('difference.n.01')	differences difference
Synset('phase.n.02')	phase form forms phases
Synset('movement.n.03')	motion motions movements movement
Synset('edit.v.04')	deleted delete
Synset('syndicate.n.01')	mob family families
Synset('option.n.02')	alternative options alternatives choice choices option
Synset('agency.n.03')	agency agencies
Synset('map.v.01')	mapping mapped map
Synset('post.v.08')	post postings posting posts posted
Synset('face.n.07')	face faces
Synset('visitor.n.01')	visitors visitor
Synset('testimony.n.02')	testimony testimonies
Synset('generate.v.03')	generates generated generate
Synset('frustration.n.01')	defeat defeats frustration
Synset('victim.n.01')	victim victims
Synset('pick.v.10')	pick picked picks picking
Synset('train.v.08')	trained training train
Synset('guide.n.02')	guides guide
Synset('switch_over.v.01')	switching exchanged switched exchanging switch
Synset('footnote.n.01')	footnote footnotes
Synset('mine.v.01')	mine mines
Synset('modify.v.01')	modify modified modifying
Synset('equation.n.03')	equations equation equating
Synset('command.n.02')	command commands
Synset('overshadow.v.01')	dominated dominates eclipse dominate
Synset('temple.n.03')	temples temple
Synset('variety.n.03')	varieties variety
Synset('college.n.02')	college colleges
Synset('rip.v.04')	ripped ripping
Synset('build.v.05')	built build buildings builds
Synset('acceleration.n.01')	acceleration accelerations
Synset('strike.v.04')	hits hit hitting
Synset('security.n.04')	security certificates certificate
Synset('vertical.a.01')	perpendicular vertical
Synset('fall.n.01')	fall autumn
Synset('minister.v.01')	minister ministers
Synset('fractal.n.01')	fractal fractals
Synset('selling.n.01')	marketing selling
Synset('passage.n.10')	passage passages
Synset('invoke.v.02')	invoking appealed invoke invokes appealing
Synset('configure.v.01')	configured configuring configure
Synset('wiretap.n.01')	tap wiretap taps wiretaps
Synset('populate.v.01')	living dwelling populated dwell lived live
Synset('explosion.n.01')	explosion explosions
Synset('turn.v.01')	turned turning turn turns
Synset('amuse.v.02')	amuse amused
Synset('land.n.10')	lands land
Synset('dominance.n.02')	controls control
Synset('meet.v.07')	assembling gathered gather assembled assemble met
Synset('invader.n.01')	invaders invader
Synset('pile.n.01')	heap heaps
Synset('european_union.n.01')	eu eec europe ec eecs
Synset('parturition.n.01')	birth births
Synset('gestate.v.01')	conceived conceive
Synset('walk.v.01')	walked walking
Synset('journalist.n.01')	journalist journalists
Synset('passing.n.03')	passage passages
Synset('writing.n.04')	writings writing
Synset('hydrogen.n.01')	hs hydrogen
Synset('take_down.v.02')	disgrace degrades
Synset('train.v.09')	trained training trains train
Synset('score.v.04')	score scoring scores scored
Synset('gentile.n.02')	gentile gentiles
Synset('design.v.06')	designs designed
Synset('pursue.v.02')	pursue follow
Synset('victim.n.02')	victim victims
Synset('obstruct.v.03')	blocked blocks blocking block
Synset('voter.n.01')	voters voter
Synset('clue.v.01')	clue clues
Synset('justification.n.03')	justifications justification
Synset('operator.n.02')	operators operator
Synset('semblance.n.01')	colour color colors colours
Synset('satisfy.v.01')	fulfill satisfies satisfy satisfied fulfilling fulfilled satisfying fulfil
Synset('supply.v.01')	renders providing rendered provide supplied supplies provided supplying rendering supply render furnish
Synset('cook.v.03')	cook cooking
Synset('watt.n.01')	watts ws watt
Synset('punish.v.01')	punish penalized
Synset('prisoner.n.01')	prisoner prisoners
Synset('unit.n.05')	unit units
Synset('produce.v.02')	created creating create creates
Synset('star.n.01')	star stars
Synset('specialize.v.01')	specialized narrow specialize
Synset('door.n.01')	doors door
Synset('sentence.v.01')	sentence condemns doom sentenced condemn doomed condemning condemned
Synset('catalyst.n.01')	accelerator catalyst accelerators
Synset('overlord.n.01')	lord lords masters master
Synset('magnify.v.01')	magnified amplified
Synset('remind.v.01')	reminded reminding reminds remind
Synset('restriction.n.03')	restriction restrictions
Synset('sail.v.01')	sails sail
Synset('yeast.n.01')	yeasts yeast
Synset('tenant.n.01')	tenants tenant
Synset('merchant.n.01')	merchant merchants
Synset('will.n.03')	testament wills
Synset('warrior.n.01')	warrior warriors
Synset('crawl.v.05')	crawled crawl
Synset('step.n.04')	stairs step steps
Synset('discipline.n.05')	discipline correction
Synset('wall_socket.n.01')	outlets outlet
Synset('subject.n.06')	cases subject subjects case
Synset('wellbeing.n.01')	well-being welfare
Synset('satisfy.v.02')	satisfy satisfied
Synset('practitioner.n.01')	practitioners practitioner
Synset('institution.n.02')	institutions institution
Synset('step.n.03')	step steps
Synset('design.v.02')	design designed
Synset('tone.n.02')	tone tones
Synset('orion.n.02')	hunters orion hunter
Synset('pump.v.07')	pump pumping
Synset('ring.v.03')	ringing ring rang
Synset('distortion.n.04')	distortions distortion
Synset('share.n.01')	portion part percentage parts percentages share portions
Synset('pool.n.09')	pool pools
Synset('collision.n.03')	collision collisions
Synset('move.v.15')	move moves moving
Synset('stone.n.05')	stones stone
Synset('expense.n.03')	expense expenses
Synset('lend.v.01')	brought bringing adding bring contribute contributes contributed
Synset('estimate.n.04')	estimate estimates
Synset('shaft.n.10')	shafts shaft
Synset('print.v.04')	printed print
Synset('train.v.01')	educated educate
Synset('poll.n.05')	polls poll
Synset('module.n.04')	module modules
Synset('case_shot.n.01')	canisters canister
Synset('focus.v.02')	focus focusing
Synset('face.n.08')	face faces
Synset('pennsylvania.n.01')	pennsylvania pa pas
Synset('score.v.02')	marked score scoring scores scored marks mark
Synset('register.v.01')	registering registered
Synset('gap.v.01')	gap gaps
Synset('league.n.02')	leagues league
Synset('pen_up.v.01')	fold folded
Synset('mask.n.01')	masks mask
Synset('party.n.03')	companies parties company party
Synset('sign.n.01')	marks mark
Synset('library.n.03')	library libraries
Synset('contest.n.01')	contests contest competition
Synset('lock.v.09')	locking lock locked locks
Synset('horror.n.01')	horror horrors
Synset('guy.v.02')	guys guy
Synset('wilderness.n.03')	wilderness wild
Synset('insist.v.03')	asserts insisting asserted assert insist insists
Synset('address.v.10')	addressing addresses addressed address
Synset('option.n.01')	options option
Synset('sustain.v.04')	keeping maintain sustained maintained sustain
Synset('quarter.n.05')	quarters quarter
Synset('experiment.v.01')	experiments experimenting
Synset('quiet.a.02')	quiet quieter
Synset('rush.v.04')	rushing rushed hurry rush
Synset('know.v.09')	knowing knew
Synset('thing.n.12')	things thing
Synset('shock.n.07')	shock shocks
Synset('seal.v.02')	sealed seal
Synset('shell.v.07')	shell shelling
Synset('conductor.n.02')	conductor conductors
Synset('joke.v.02')	joking jokes joke
Synset('persian.n.02')	persians persian
Synset('complain.v.02')	complains complained complaining complain
Synset('design.v.03')	design designs designed designing
Synset('collision.n.02')	collision collisions
Synset('convert.v.06')	converted converting convert converts
Synset('stone.n.06')	pit stones stone
Synset('compound.v.05')	combined compound
Synset('clarify.v.02')	clarify clarified
Synset('promise.v.02')	promise promised promising
Synset('second.v.01')	backing endorses back endorsed endorse
Synset('train.v.02')	prepared training
Synset('restrict.v.02')	restricting restricted restrict
Synset('shutting.n.01')	closing shutting
Synset('floor.n.04')	floors floor
Synset('amendment.n.02')	amendment amendments
Synset('assimilation.n.02')	absorption assimilation
Synset('spray.n.05')	spray sprays
Synset('extradite.v.01')	deliver deported delivered
Synset('spouse.n.01')	partner partners spouse
Synset('party.n.04')	parties party
Synset('restriction.n.01')	limitation restriction restrictions
Synset('call.v.11')	call called calls calling
Synset('title.n.03')	titles title
Synset('substantive.a.02')	substantive essential
Synset('unit.n.02')	unit units
Synset('pertain.v.02')	pertaining pertain
Synset('hope.v.02')	hoping hoped hopes hope
Synset('train_of_thought.n.01')	threads thread
Synset('throat.n.01')	throat throats
Synset('review.v.04')	refreshed refreshing refresh
Synset('associate_degree.n.01')	associates associate
Synset('neglect.v.04')	neglected disregarded neglecting disregard disregarding ignore
Synset('motor.n.01')	motor motors
Synset('fly.v.12')	flown fly flying flew
Synset('tuck.v.01')	inserted inserting
Synset('retrieve.v.03')	retrieve retrieved retrieving
Synset('structure.v.01')	structures structure
Synset('quantity.n.03')	quantity quantities
Synset('luck.n.03')	fortune luck
Synset('wire.n.01')	wires wire
Synset('process.n.06')	process processes
Synset('drop_curtain.n.01')	drop drops
Synset('speed.v.04')	speeding speeds speed
Synset('waiter.n.01')	server servers
Synset('combine.v.04')	combining combined
Synset('university_of_pennsylvania.n.01')	pennsylvania penn
Synset('fertilize.v.01')	fed feeding feeds
Synset('slaughter.n.03')	massacre carnage massacres slaughter
Synset('size.n.02')	size sizes
Synset('folk_music.n.01')	folk folks
Synset('expense.n.01')	expense expenses
Synset('terminology.n.01')	languages terminology language
Synset('target.v.01')	targeting targeted place aimed aiming
Synset('filter.n.01')	filter filters
Synset('abomination.n.03')	abomination abominations
Synset('install.v.02')	installed install installing
Synset('restrainer.n.02')	controller controllers
Synset('undertaking.n.01')	projects task project tasks
Synset('vary.v.03')	varying vary varies varied
Synset('wound.n.01')	wound wounds lesions
Synset('grant.n.08')	grants grant
Synset('carry.v.05')	carried carries carry carrying
Synset('negate.v.03')	contradict contradicts contradicting contradicted
Synset('sort.n.03')	sort sorts
Synset('open.v.08')	opened opening
Synset('jaw.n.03')	jaw jaws
Synset('lotion.n.02')	application applications
Synset('picking.n.01')	pick picks picking
Synset('theory.n.01')	theories theory
Synset('imply.v.01')	imply implied implies
Synset('player.n.01')	players participant player participants
Synset('run.v.01')	running run runs ran
Synset('validation.n.01')	proof validation
Synset('suspension.n.06')	hanging suspension
Synset('steering.n.02')	directions guidance steering direction
Synset('restore.v.05')	restored restoring
Synset('imply.v.02')	implying imply implied implies
Synset('product.n.05')	product products
Synset('cost.n.01')	costs cost
Synset('oppose.v.06')	contradict contradicts contradicting
Synset('headline.v.01')	headlines headline
Synset('pull_the_leg_of.v.01')	kidding kid kids
Synset('compromise.v.01')	compromises compromised compromising compromise
Synset('reduction.n.02')	reductions reducing reduction
Synset('organization.n.06')	organization organizations organisation
Synset('print.v.03')	prints printed print
Synset('titanium.n.01')	ti tis
Synset('tamper.v.01')	tamper monkey fiddling
Synset('outbreak.n.01')	outbreak outbreaks
Synset('agree.v.02')	agrees agree agreeing agreed
Synset('review.v.05')	reviews review reviewing reviewed retrospect
Synset('seal.v.04')	sealed seal
Synset('reap.v.01')	gleaned reap
Synset('interaction.n.02')	interaction interactions
Synset('nick.v.02')	nick chipped
Synset('tyrant.n.03')	tyrants tyrant
Synset('thief.n.01')	thief thieves
Synset('terminal.n.02')	poles terminal pole terminals
Synset('move.v.07')	move moves moved moving
Synset('bit.n.06')	bits bit
Synset('feed.v.06')	feed ate fed eats feeding eat feeds eaten eating
Synset('trap.n.01')	traps trap
Synset('whole.n.02')	unit units
Synset('input.v.01')	input inputs
Synset('break_in.v.01')	broken broke breaks breaking
Synset('play_along.v.02')	accompanied accompanying
Synset('annex.v.01')	annexed annex
Synset('helmet.n.02')	helmets helmet
Synset('underscore.v.01')	emphasizes emphasize
Synset('spoof.v.01')	parody spoofing
Synset('source.n.07')	sources source
Synset('drawing.n.01')	drawings drawing
Synset('spare.v.03')	spared spare
Synset('territory.n.03')	territories territory
Synset('association.n.07')	associations association
Synset('assurance.n.04')	assurance assurances
Synset('heaven.n.02')	heavens heaven
Synset('appear.v.06')	appeared appears appearing
Synset('x_ray.n.01')	x-ray x-rays
Synset('search.v.04')	searched search searching
Synset('drive.n.10')	drives drive
Synset('drink_in.v.01')	drunk drinking drank drinks drink
Synset('enhance.v.02')	enhancing enhanced enhance
Synset('surface.n.01')	surface surfaces
Synset('service.v.01')	serves service served serve services serving servicing
Synset('prevent.v.02')	prevent preventing keeping prevents prevented
Synset('economy.n.01')	economies economy
Synset('value.v.01')	valued values
Synset('application.n.02')	application applications
Synset('revision.n.01')	revisions revision
Synset('standard.n.04')	standard standards
Synset('hold.v.14')	carried held borne born carry carrying
Synset('wallpaper.v.01')	wallpaper papers
