Synset('november.n.01')	november denver nov
Synset('right.n.01')	45 average pruning activity fig curve upper quantities utility states blocked top desired continue classifier figure erp cost test lower squares arbitrary sensors left interval leaving powers represent
Synset('put.v.02')	puts put
Synset('platform.n.03')	platform platforms
Synset('way.n.06')	incoming ways robust method reasonable procedure network
Synset('consonant.n.01')	consonant consonants
Synset('originate.v.03')	originating originates originate systems magnitudes error errors originated
Synset('store.v.01')	stores minutes stored store storing
Synset('stand.v.02')	stands stand
Synset('undertake.v.03')	undertaken guaranteeing guaranteed
Synset('spot.v.06')	spotting spot simulated spots
Synset('angle.n.01')	1500 angles overlapping steering angle front errors
Synset('death.n.02')	death life instant
Synset('muscle.n.04')	eye muscles muscle movements control neck synchrony
Synset('search.n.01')	searches search hunt
Synset('weaken.v.01')	weakened weaken
Synset('bishop.n.01')	pp bishop 92 theory
Synset('coupling.n.02')	coupling couplings impedance
Synset('square.n.07')	11 figure solid plotted 18 squares circles square induced contrast exhibit moving 20
Synset('contextual.a.01')	contextual hippocampus conditioning passing
Synset('teacher.n.02')	teacher teachers
Synset('parent.n.01')	parent parents
Synset('maximize.v.01')	maximize evaluations rate maximizing maximized maximizes clustering maximising maximise
Synset('setting.n.02')	settings background scope setting
Synset('placement.n.01')	arrangement placement arrangements
Synset('conjunction.n.04')	conjunction conjunctions properties
Synset('luteinizing_hormone.n.01')	lhs lh
Synset('ticket.v.01')	fined fine
Synset('rede.v.01')	interpreting interpret interprets interpreted
Synset('foundation.n.01')	foundations foundation
Synset('music.n.04')	criterion music
Synset('specify.v.02')	limited define defined defines
Synset('suffice.v.01')	works constant answered method serves suffice serve multi-layer 141 research layer serving propagation tests trials answering suffices served hierarchical
Synset('thick.a.01')	wavelength times artificial receptor fig colors thick
Synset('new.a.01')	outputs memory irrelevant references data optimal learning necessarily packets oxford restricts numerical pages 1995 sons variations presented adding function create model vector discrimination mcgraw-hill company press behavior algorithm add processes prentice adapt dekker store brain theoretic analysis propose samples verlag system compose yang information support plenum statistics
Synset('inference.n.01')	inductive robust inference neural learned inferences connectionist university performing 1990 perform neal niranjan parallel mixture perceptual typical cooper runs base
Synset('swarm.n.02')	cloud clouds
Synset('influence.n.03')	envelope schulten trainer influences excitatory information avoid markers rub goals influence
Synset('touch.v.05')	met meeting
Synset('bring.v.02')	brought brings bringing bring helpful
Synset('position.n.01')	places place
Synset('quality.n.03')	characters high character solution conclusions qualities embedding 1989 quality
Synset('oblige.v.03')	accommodate accommodated
Synset('switch.n.01')	binary switches switch
Synset('multiple.n.01')	accommodate multiple recognition handle produce multiples
Synset('periphery.n.01')	implementation periphery
Synset('volt.n.01')	volts ij figure correct functions curve templates subjects learning error 100 schedule input cells volt bias 5.0 log-log vss firing force 1989
Synset('abstract.v.03')	models abstract weights abstracted
Synset('cooperation.n.02')	harris cooperation
Synset('miss.v.05')	missed misses missing miss
Synset('kilohertz.n.01')	khz frequency
Synset('illustrate.v.02')	illustrating illustrates illustrated illustrate
Synset('transaction.n.01')	approximation method dealing neural sets pattern recognition control learning annealing networks transactions ieee distributions analog function theory transaction
Synset('yoke.n.06')	coupling couplings
Synset('label.v.05')	algorithms initial labeled learning label labels labelled node unit plot adopt labeling labelling simply
Synset('datum.n.01')	measured half experimental approach input/output uncertain multi fit analyzing number experiment sons qualitative auditory complex visual model case 10 algorithm e.g models raw unpublished analysis invariant apparent amplitudes input selection domain offering biological neurophysiological presenting average components statistical providing study 25 criterion circuit independent iterates pattern matrix exploits result low 1993 yield noise generalize 818 scaling strategies gradient started 7-bit noisy sample blood single genome depth speech future friedman constraint outputs measuring data owl dac dam exploratory sor insect funds 50 results selected computational image development test solutions weight 2000 significant real steps estimation synthetic vectors materials postal problems datum applied classes values training learning alto random central sampled process figure original velocity structure plots curves sensory tuned fund 4.2 reso clustering multidimensional simply
Synset('high.a.02')	modeling yielding large dimensionality accommodated expected mea noisy easy performed distributions output number high operations generalization highest variable firstly sensitivity levels measurements higher requires
Synset('grant.n.05')	grants grant
Synset('relief.n.02')	notational ease test estimate
Synset('setup.n.02')	typical setup users generic architecture
Synset('distribution.n.02')	normal chain modes conditional idea sampling weight posterior index distribution distributions voltage histogram existing entropy laminar fixed projection dispersion updated case
Synset('grouping.n.02')	input proposed groupings methods variable grouping
Synset('stipulate.v.01')	specifies exceeds con circuit convergence matrix target condition conditioned conditions net formally fully requires
Synset('store.v.02')	explicitly reliably stores classes weight reduced sense store subsequently storing synaptic symbols analog permits sparse stored model
Synset('plan.v.01')	temporally planning plans planes planned plan
Synset('different.a.01')	encode models chip characteristics trained initial sufficiently automatically deviation sequences plots minima selects features extremely field interest create net 10
Synset('scarce.a.01')	world scarce
Synset('medulla_oblongata.n.01')	odors tory bulb active olfactory specific
Synset('steer.v.01')	pointed number directed task stable guiding steering gave steer guided
Synset('workshop.n.01')	sixth proc shop aaai workshop ieee theory
Synset('strive.v.02')	reached reaching strained
Synset('setting.n.01')	settings automated chips scenes setting computational scene chosen
Synset('answer.v.03')	answered answering
Synset('play.v.12')	play plays played
Synset('busbar.n.01')	bus buses
Synset('specify.v.03')	np define adaptation defining defined defines
Synset('rob.v.01')	rob model
Synset('whitethorn.n.01')	symbol regulated simulation rules pairs patch suggests dynamics automation acuity major optimization prior complex layers visual net recurrent results tasks algorithm e.g drift addition nonlinearity patterns hyperplanes schemes labels system techniques science messages circuit activity distance columns university learning error simpler states network minima adaptive 1997 journal systems parameter 3/4 believed free map pixel architecture practical cases sets learned stimulus subjects ork control suggest brain transformation simulations performance hippocampal lengths variance propositions information constraint
Synset('consumer.n.01')	cp consumer
Synset('postulate.n.01')	postulates postulate
Synset('coordinate.v.02')	coordinate coordinates
Synset('overture.n.03')	advances approaches approach dimension advance
Synset('correlational.a.01')	electronic correlational local
Synset('arrival.n.02')	arrival arrivals
Synset('derivation.n.03')	derivations derivation
Synset('complex.n.03')	orientation excitatory direct makes simple receptive frequency cells mixture complex visual recurrent complexes
Synset('rank_and_file.n.01')	ranks rank
Synset('groove.n.01')	channels channel
Synset('trace.n.01')	hints hint
Synset('subscript.n.01')	subscripts subscript inferior
Synset('solicitation.n.02')	collections collection
Synset('lip.n.01')	lip lips
Synset('process.n.02')	process processes operations operation
Synset('pittsburgh.n.01')	pittsburgh university department fitting
Synset('overlap.v.02')	overlap squares overlaps 50 overlapped
Synset('university.n.02')	data bor technical neural university pattern edition learning program ohio networks research carnegie computer computing 1995 universities uk princeton 1992 thesis memories dissertation cambridge dynamic state department behavior signal tion address phd aston nasa artificial columbia mellon stanford science york report processing harvard actions tr
Synset('allowance.n.03')	adjustments circuit spaces weight circuitry adjustment global setting
Synset('summons.n.03')	process processes advantage begun mental projection alvis filling-in
Synset('framework.n.03')	framework frameworks
Synset('standardization.n.02')	normalisation dissimilarities normalization deterministic
Synset('hybrid.n.03')	771 1975 current hybrid performance scales cross construction crosses
Synset('think.v.03')	cognitive thought thinks erroneously thinking editors
Synset('diffusion.n.01')	diffusion boundaries
Synset('figure.n.06')	figure figures
Synset('strong.a.01')	square figure strong yielding surface stronger gravity patterns strongest modulo
Synset('gather.v.08')	images sets gathered
Synset('league.n.01')	artificial economics joint conference auditory converter xii international periphery network
Synset('call.v.02')	call called
Synset('dale.n.01')	dale medicine
Synset('status.n.01')	positions position status
Synset('dimension.n.01')	field dimension dimensions primary
Synset('work.v.01')	worked working
Synset('utility.n.06')	figure shown decision left utility maximum learning utilities ebl
Synset('service.n.11')	service services
Synset('decisiveness.n.01')	constant regions memory fig bimodal methods simple space local hz phonetic shows desired exemplars disjoint influences complex convex classifiers classifier decisions hyper measurements algorithm non-linear similar decision arbitrary classification increase volume input xl form haussler 2.3 gaussian dimensions represent
Synset('spend.v.01')	spends system spent spend
Synset('london.n.01')	london system limited chapman publishing
Synset('plumb_line.n.01')	component perpendicular motion
Synset('island.n.01')	island proceedings
Synset('neuroscience.n.01')	neurosciences neural neuroscience inhibitory cat 1991 part visual attention brain demands cues
Synset('drug.n.01')	memory drug
Synset('undertake.v.01')	concluding attempting undertaken attempted attempt attempts
Synset('power_system.n.01')	grid grids
Synset('spot.v.04')	blobs blob
Synset('city.n.02')	cities city
Synset('invertebrate.n.01')	invertebrate invertebrates
Synset('micron.n.01')	square microns 600 82 micron 581 fabricated
Synset('cylinder.n.02')	cylinder cylinders
Synset('rout.v.02')	routed routing
Synset('sensory.a.02')	sensory convergent
Synset('graduate.n.02')	graduate foundation engineering
Synset('counter.n.02')	counters up-down counter
Synset('remove.v.02')	removed removes removing remove
Synset('represent.v.09')	interpreting interpret interprets interpreted
Synset('initialize.v.01')	initialised models initialized initializing initialize
Synset('transistor.n.01')	sensing vertically circuit pass transistors channel weight source lateral mos curves 300 fet transistor
Synset('win.v.01')	wins tw winning picked won win neurons
Synset('improvement.n.01')	subjects estimated degree adaptation annealing improvement advance neal performance asymptotic rate advances exp technological improvements
Synset('reflect.v.07')	reflect reflected reflecting reflects
Synset('system.n.02')	system systems
Synset('consider.v.09')	considers figure considered theoretic matrix networks error important coding 1996 task boundaries model arrays
Synset('refine.v.06')	refines refined refine refining
Synset('arm.n.01')	arms arm
Synset('recuperate.v.04')	recovers recovering recovered
Synset('substitution.n.02')	substitution substitutions exchange
Synset('monkey.n.01')	monkeys monkey
Synset('complement.v.01')	binary complements complemented randomly complement
Synset('gyroscope.n.01')	gyroscope gyro
Synset('lie.n.03')	symmetry lie lies
Synset('transformation.n.02')	motor transformations receptive transformation
Synset('restore.v.01')	reconstructed reconstructing restore reconstructs restored reconstruct j.c echoes required compared
Synset('report.v.01')	cochlea reports chips simulation ica collected section language accounting research equations connectivity solution accounted describing context understanding differentiating model injury results alamos order algorithm tech work conclusions hood univ concisely techniques determined 3.2 prediction theory wind algorithms technical trajectories experiments monte learning representations matrix annealing cycle tools adaptive rst lgn primitives paper previously structural maxima skill reported tracker regularities table reporting landscapes chain linear initial procedure describes site performance uncorrelated metric report summarize 6.3 describe accounts account
Synset('european.a.01')	traditional european partially 1988
Synset('hand.n.06')	cortex deal problem set dimensional deals adjustment hand
Synset('simon.n.04')	simon mcgraw-hill al
Synset('amount.n.02')	amount amounts
Synset('replace.v.01')	replaces replace replaced replacing
Synset('enable.v.01')	enabling adaptive potentials signals problem enable foundations model rhythm enabled pus enables
Synset('desire.v.03')	desire desired
Synset('housing.n.02')	housing hs
Synset('forward.n.01')	forwards feed computes presented forward exponents analysis propagated distributions full
Synset('wiesel.n.01')	wiesel 1998 133 features 1985 design 559 160 429 hubel 195 295
Synset('propagate.v.07')	propagating propagate propagates propagated
Synset('thorium.n.01')	ac computer figure intact nodes function 637 networks 30 trajectory 1977
Synset('stop_consonant.n.01')	stop subnets
Synset('succession.n.03')	sequence sensory influences sequences command
Synset('perform.v.01')	performs agent expert simulation experiments neuron global layer pca network search ways found continue classifiers exemplar kd action majority xor case algorithm st linear learned probability performing tree perform decreasing restarts performed samples generally simulations 2d nodes system selection lippmann consists gaussian runs
Synset('denote.v.01')	slices denoting regions hm line za upper squares denotes pa entry component denote term denoted
Synset('stay.n.03')	stays prediction stay
Synset('react.v.02')	opposed opposing senses reacting react
Synset('proof.n.02')	computer appendix companion proofs rule proof sketch
Synset('waterloo.n.03')	thesis waterloo
Synset('gabriel.n.01')	gabriel model
Synset('indicator.n.04')	indicator leading category indicators corresponds
Synset('month.n.02')	months month
Synset('mechanism.n.05')	mechanism mechanisms
Synset('inch.n.01')	functions chips optimal accuracy spontaneous theta setting introduced contributions circuitry successfully virtually behaving squares proportional shapley analysis lighting packet planning synapses correlation selection size left recognizer explorations poorly role independent blur matrix uncertainty result gold aspect procedures xor behavior linked hand ordered sets learn descent grating suite information discuss standard addressing notes controls evidence occupancy inputs transmission helped finish quantization making tractable encoding capacitances adv tests sparse success conditioning scenes adjustment activation neural searching nips representation arranged mixture projection reinforcement lines effectiveness potentials capabilities transistors evolution peak improvement message environment arises achieved 4.5 refractory closed-loop tendency 3000 years variation number flow algorithm e.g similar mapping proceed testing bulb ahp distributed 0.015 propose decoding mutation winner illustrated system converge strongly analyze restriction driven aid engaged algorithms hypotheses circuit doubling epoch irregular cell representations local noise stochastic post-synaptic redundancy linear question neuronal discussed 2.0 requiring polynomial stored firing outputs equally inhibitory autonomous rule-based points mode identical 677 function implemented 679 choppers links net neu including constructing positions basis expense linearly unit amplifiers organisms individually amplifier eigenvalues university technique ensemble units represents effective times ana parameterized feedforward convex tokens direction hippocampus rates distinguished rows 220 lengths application martin 0.9 interested machines caught neuron decay led echo skills state shoulder manipulated events defined element waves displayed eliminated models tuning codeword hierarchies patches sampling expected correlations demand input cue envelope slow decision-making difference styles items complexity vide networks matching routing lgn found moody reported attribute takes mechanism arm retention situation genetic participate correspondence gradient structures lacking hopfield summarized shaping diagram similarities 267 understood supported fashion principle strength lie individuals research summation features isomorphic scheduling recurrent results inherent actual tension trapped widely adapt labeled weight develop significant decrease iterations odors difficulty signals overlap involved dominated leads fixed fields updated parameters correlated involving memory hidden distance show description simplicity updates conclusion minimal perceptual rowley factor analogous enhance calcium learned jaakkola equal curves sigmoid backpropagation short window applications 1966 modeling self-organization criteria program issues trains input/output packets required pus 1976 1975 measures 1973 temperatures connectivity stuck participating trap hyperplane circuits case discontinuity grows tion images probability conclusions simulated 1990 lowest 1987 analog cars provide completely study searchers methods differences pattern direct priori layer gain lot computer ways 1995 1994 freedom memories 1999 editor consistent performed encountered grid organization dependences organized terminating dominance travel section simple transitions assumptions shown presented connections group combination tree produced square vectors asymptotic correlate effect distortion request ease vertically critical spiking values part determines outliers point candidate induced sumption mentioned matrices editors introduction tems move process original selective assignment stimulus encounter increase differ converges variance valued cooper reduction user equivalent fig sketched archie areas synaptic evaluation bar stimuli exemplar resistor investigated ramp active proceeding al easy interpretation formed scheme choosing originating adaptive proved second-order systems unlike term indi attainable embedded chip set subjects column cn procedure e1 noticeable sample compares advantages maximum corresponds analytic input-output essential interconnected df sites cues hold exemplars highway signal ed computational disadvantage vowels ei typically patterns learns remained varied eq propagation month inen cursor schematically parallelism back training expectation states tanh random passes rate captured rats class perrone views overfitting gi outperform pyramidal length nodes form regression counted avoid selec grant subset modes fibers nonlinear bit output division relationships hz appeared advances classifier model majority mimic lying ii fired issue large researchers made bits learnable schemes resulting additive field arrays encoded summed works inference operates pursuit jr phenomenon sequences targets streaming world induction sphere nonterminal microns table characterized side change ment smoothness machine improvements codes constant lq connectionist recognition main receptive ly stands suggests derivatives edge faster high falls proceeds find continuous classifiers limit interneurons approximation level occur difficult ideas synapse weights s.j chosen expansion entry entries resistors directions lists principles 328 position 1.8 oriented present errors mathis problems code appears symbols head considerable ranked magnitude cups included blurred allocated falling processes plays simulator nature equation considerably raised depicted control structure rapidly 100 processed sensory carlo pulse architectures adaptation parsing constraints patch dynamics sizes scent fire chopping 10 height based 15 optimality 17 benefit node generalization processing obtained conditions interpreted starting device switching motor components 25 kearns activity experiments association global long extended pieces current actively temperature vector thompson operating free measurements situations variables strategies restrictive analyzed started simulations connected single hill cortical showed progress assist 40 operation bus symbol agent 2v 48 ica numbers rules hawkins independence neurons 3a spike frequency presentation elman horizontal uniformly greedy dynamic 50 written commands ut treated observational multiplier plasticity finding channels vp demonstrate region suboptimal drop rule learning conductance wd wk common interest potentiation settles lies 75 figure gradual cases argue technology filters voltage cells separability succeed yields codewords tested approximations competition 7b relation feedback 199 problem critic optimization lost connection proof 95 dependent 98 method work arise resistance exist examples theory regions columns range ous distribution evidenced capacity naturally axons amplitude ghost fall recall tracker initialized place power explains abstract lead a-si expect appearance located responses behaviour dispersion minimum exponential succeeds data multiplicative space successes coarse constants cortex exploration published branches proposed eds solving challenges trajectories eeg line frequent membership error ocular differential network minima leen numerical prescribed computing paper car parameter iteration decoded track earning greatest ing computations motion limited advantage implementation match groups efficacy performance growth
Synset('date.n.06')	date dates
Synset('levy.v.01')	imposed imposes impose
Synset('give.v.03')	suggests gave giving direction
Synset('admit.v.01')	acknowledge acknowledged acknowledges
Synset('station.n.03')	station december stations latest
Synset('deformation.n.02')	deformations deformation
Synset('contrast.n.05')	characteristics figure simultaneous threshold learning saturating high brightness rate contrast model fixed contrasts net 86 table 10
Synset('committee.n.01')	outperform committee committees bers heterogeneous 0.74 train
Synset('marker.n.01')	marker information markers
Synset('cleanse.v.01')	cleaning cleaned
Synset('appro.n.01')	i.e appro
Synset('decay.v.03')	decayed decaying
Synset('rise.n.02')	ascent vector rise ascending rises
Synset('induction.n.02')	difficulty bayesian 1997 induction 1992 finite classical ltp rule requisite
Synset('neurotransmitter.n.01')	neurotransmitters neurotransmitter
Synset('hearing.n.01')	probability 1990 hearing vlsi echolocating
Synset('convergence.n.01')	figure convergence rates 1990 excessive weights analysis required potentially
Synset('perturbation.n.04')	perturbation perturbations
Synset('realize.v.06')	herrmann realised physically realizes realized realizing sys realize
Synset('personal_computer.n.01')	pcs tion pc values
Synset('emerge.v.04')	acuity car interesting acknowledgements arguments emerge emerges emerged relationship behavior neurons emerging
Synset('useless.a.01')	apparently useless power
Synset('equipment.n.01')	test equipment hewlett-packard interface
Synset('sen.n.01')	result cho sen
Synset('concentration.n.01')	concentrations calcium concentration
Synset('protein.n.01')	sequence belong set proteins protein values matrix sequences
Synset('helium.n.01')	ing curved learned en network 101 bob machine weaknesses nh john complete actions investigated fight represent
Synset('improvement.n.02')	performance improvement improvements
Synset('derivative_instrument.n.01')	derivatives derivative
Synset('build.v.07')	build builds
Synset('scale.n.06')	scales scale temporal heterogeneity breaking
Synset('synapse.n.01')	measured collaterals inhibitory excitatory correlational turn integrated adaptive bar electronic model 10 non-linear cmos figure 15 large refresh synapse 7-bit analog hybrid synapses 1024 2.3 biological transistor
Synset('predictor.n.03')	predictors bagging predictor
Synset('year.n.03')	year type 30 recent years
Synset('cycling.n.01')	consists cycling
Synset('qi.n.01')	ei chi qi distribution neurons ki
Synset('large.a.01')	big moderately constant sufficiently simulation maintain usage quickly 198 number problem assets biggest denote symmetry results selected searches modular large wta handle analysis unstable induce suited problems larger largest classify providing utilised values technique training choose redundant adaptive receiving search acquiring low design and/or dependence ability behavior introduction analogous measurements incorporating characteristics figure sets bigger display cells stage build impractical minimum
Synset('involve.v.06')	algorithms bursts problem involved involves structures involve approaches possibility involving stimulation
Synset('react.v.03')	qualitatively reacting react
Synset('cybernetics.n.01')	attractor cybernetics systems science biological biol model dynamic specific
Synset('probe.n.01')	investigations investigation
Synset('dollar.n.01')	dollars dollar
Synset('york.n.01')	recipes green neural nature bishop university control learning brain wiley academic york associative processing press berlin theory springer
Synset('shaping.n.01')	feedback learning defining shaping
Synset('property.n.02')	property properties
Synset('temperature.n.01')	previous neuronal anneal simulates annealing 173 peaks fukunaga local morning temperatures temperature final suitable dependent
Synset('course.n.09')	courses initial
Synset('save.v.02')	saving average saved preserved save preserves model savings preserve networks preserving
Synset('set.n.01')	obs data optimal subject 150 heterogeneous building divisions selects loaded score post function classifier assumption model validation defined selected attempts test method made avoids weight equipment informative basis chosen input vectors system size generalization produces squared sensitivity full belong line experiments description rule training learning 0.76 artificially error representation feature spanning dolce parameter well-defined genetic include overfitting ing set explore sets initial arbitrary abi produce restricted quantized realizes complete bid subset mse simply transistor
Synset('boost.v.05')	boosting boost boosted
Synset('algebra.n.01')	linear algebra
Synset('stand.v.06')	stands stand
Synset('density.n.01')	node random high density connectivity form probability densities
Synset('noisy.a.01')	input role data hippocampus nature optimization strategies wta smoothing noisy decoding
Synset('press.n.08')	conference graphical cross networks analysis cam analog systems princeton academic nerve ganglia mit studies processing machines press programming
Synset('dram.n.01')	dram microns
Synset('triple.n.01')	triples triple
Synset('main.n.02')	squares main states
Synset('refine.v.03')	refines refined refine refining
Synset('convergent.a.01')	redlich convergent
Synset('participation.n.02')	involvement active
Synset('equate.v.02')	equate equating
Synset('amplifier.n.01')	feedback stage amplifiers summing neuron noise amplifier differential
Synset('mission.n.03')	mission charge
Synset('suppress.v.01')	inhibiting inhibited inhibit inhibits suppressed suppress suppresses
Synset('rates.n.01')	1987 figure edge high transfer tone gradients 3.1 methods rates learning results
Synset('occupation.n.01')	business ip
Synset('wood.n.08')	woods wood
Synset('prototype.n.01')	performance depending prototypes completed physical prototype
Synset('department.n.02')	ee doctoral methods university official monte al prof research 166 computer laboratory thesis science carlo report institute departments department supported
Synset('low-level_formatting.n.01')	initialisation correct localist ranges initialization
Synset('justification.n.01')	directions justification
Synset('order.v.05')	ordering orderings
Synset('release.v.09')	charge release freed free released
Synset('scent.n.02')	de scent
Synset('shift.v.05')	shifted shifting
Synset('meet.v.09')	criterion meets meet snowbird met meeting
Synset('rest.v.08')	rest resting
Synset('swing.v.01')	swing large swinging
Synset('scale.v.02')	scaling scaled mixture scales 19 scale strictly
Synset('limb.n.01')	limb shading randomly
Synset('spinal_anesthesia.n.01')	frog spinal
Synset('edge.n.06')	occluding recover physiol edges branching target intensity filter edge plain techniques stereo percentage 0001 difference alvis 20
Synset('associate.n.01')	associates associate
Synset('property.n.05')	statistical functional neural multi-valued receptive neurons input/output observe unknown network valid common qualitative symmetry prop property collective spatial physical unusual key temporal computational cortex well-known scaling orientation ing dynamical optimality satisfy experimentally orienta formal 1986 unit cells response determined unique anatomical biological basic randomized support properties
Synset('automatize.v.02')	automated automate
Synset('propagation.n.01')	propagation back error signal
Synset('disadvantage.n.01')	disadvantage disadvantages main
Synset('verb.n.02')	verb verbs
Synset('shunt.n.02')	bypass shunt
Synset('mask.v.02')	masks mask
Synset('teacher.n.01')	phase increasingly strong conservative distinguish student significant relevance node driving teacher overlap teachers overlaps human defined
Synset('decision.n.03')	decision decisions
Synset('ratio.n.01')	ratios ratio
Synset('window.n.08')	window windows
Synset('weakness.n.03')	weakness weaknesses algorithm
Synset('x.n.02')	number journal
Synset('coin.n.01')	coins coin
Synset('oregon.n.01')	bayesian process visible concept active units ors hofmann field oregon choice parameters properties
Synset('give.v.01')	svd actual give criterion set data conditional independent behaviors cell matrix giving layer lateral hofmann examples absolute gave
Synset('tour.n.01')	tours tour
Synset('resemblance.n.01')	strong resemblance
Synset('strain.v.03')	extend extends extending extended
Synset('rabbit.n.01')	anesthetized response rabbit blink
Synset('glomerulus.n.01')	glomeruli glomerulus
Synset('initiate.v.03')	initiated initiating
Synset('roll_up.v.02')	accumulate collected accumulates collecting accumulated accumulating
Synset('freedom.n.01')	de freedom parameters
Synset('mixture.n.01')	dashed algorithms memory bf spherical numbers mixtures empty network number 1995 jacobs mem 1994 mixture classifiers model soft set sets em gence analysis samples superior supervised 1989 1988
Synset('benefit.n.01')	benefits benefit
Synset('realization.n.03')	realisation realizations realization
Synset('ground.n.09')	grounds earth ground case
Synset('december.n.01')	404 december control luna
Synset('transition.v.02')	state transitions transition
Synset('rubidium.n.01')	rb rbs
Synset('concentration.n.03')	concentrations concentration
Synset('sensitive.a.02')	proved motion sensitive
Synset('lower_berth.n.01')	lower lowers
Synset('topic.n.02')	201 issue matters subject topics subjects topic matter issues
Synset('unwrap.v.02')	discovered components reveal circuit reveals units pals cycle neurons correspond adaptively complex revealed averaged exposed mimic alvis breaking policy broken discover discovering process breaks break revealing 1990 approaches discovers unwrapped expose input condition answer simply
Synset('gen.n.01')	gen member
Synset('route.v.02')	routed routing
Synset('attack.v.05')	attacks attack attacked
Synset('path.n.02')	1998 path paths pen
Synset('style.n.05')	styles style
Synset('time_interval.n.01')	intervals parameter fixed interval
Synset('factorize.v.01')	factorized factorize
Synset('giving.n.03')	giving structure
Synset('reprint.v.01')	reprinted science
Synset('consequence.n.02')	important consequence natural fig interesting prediction consequences adverse extreme
Synset('presence.n.01')	presence network
Synset('delete.v.01')	cancel canceling cancels deleting deleted cancelled delete
Synset('quantify.v.02')	filter measured ease quantify quantifying quantified measuring typical synapse quantifies
Synset('member.n.01')	members member
Synset('notice.v.04')	acknowledge acknowledged noticed acknowledges worth notice
Synset('belief.n.01')	beliefs belief
Synset('occupation.n.04')	occupancy state
Synset('succession.n.04')	succession learned rapid point
Synset('property.n.04')	assumes quickly attributes attribute dimension tasks redundant dimensions
Synset('shape.v.03')	forming subspace units formed
Synset('chain.n.03')	hertz chain 1995 imputation examples chains probabilistic sampling reversible pattern 5a samples
Synset('word.n.07')	digital 660 sentence act dictionary representing words isolated model word network
Synset('lp.n.01')	lp probability
Synset('overstate.v.01')	amplifying magnified complex amplified amplifies magnifying amplify
Synset('cardiac_arrhythmia.n.01')	arrhythmias arrhythmia
Synset('surround.v.01')	border surrounding surrounded ringing ring borders environ
Synset('attack.v.03')	attack attacked
Synset('pursuit.n.01')	acceptable method optimal gradient implementation pursuit estimated learning error version 1985 size light arrive rabbit safe projection state power net train
Synset('routine.n.01')	routine routines
Synset('verb.n.01')	verb noun verbs
Synset('molecule.n.01')	molecules molecule
Synset('understudy.v.01')	alternating alternates
Synset('psychophysics.n.01')	fj psychophysics perception
Synset('fisherman.n.01')	dashed ekf shows large conclusions filtering fisher stone
Synset('proportion.n.01')	proportion proportions table
Synset('stimulation.n.03')	receive membrane caudal initial non-linearity prolonged vestibular 20 stimulations stimulation
Synset('course.n.07')	courses visual activation
Synset('scan.v.05')	scans scanned scan 60 40
Synset('transfer.v.01')	transferring transferred figure transfer median size 52
Synset('act.v.08')	act shown experiment stage tor learning weights acts acting network
Synset('conscientious_objector.n.01')	statistical internal 6000 called trained cos yer scientific ion learning error freeman analog denver quantify 1985 style department ut
Synset('ingredient.n.03')	ingredient ingredients
Synset('muscleman.n.01')	muscles muscle
Synset('manage.v.02')	managed handled managing care manage
