Synset('november.n.01')	november nov
Synset('ticket.v.01')	fined fine
Synset('rede.v.01')	interpreting interpret interprets interpreted
Synset('foundation.n.01')	foundations foundation
Synset('specify.v.02')	limited define defined defines
Synset('suffice.v.01')	answered answering serves suffices served suffice serve serving
Synset('inference.n.01')	inference inferences
Synset('swarm.n.02')	cloud clouds
Synset('influence.n.03')	influences influence
Synset('touch.v.05')	met meeting
Synset('bring.v.02')	brought brings bringing bring
Synset('position.n.01')	places place
Synset('quality.n.03')	characters character qualities quality
Synset('oblige.v.03')	accommodate accommodated
Synset('switch.n.01')	switches switch
Synset('multiple.n.01')	multiple multiples
Synset('volt.n.01')	volts volt vss
Synset('abstract.v.03')	abstract abstracted
Synset('miss.v.05')	missed misses missing miss
Synset('illustrate.v.02')	illustrating illustrates illustrated illustrate
Synset('transaction.n.01')	dealing transactions transaction
Synset('yoke.n.06')	coupling couplings
Synset('label.v.05')	labeling labeled labelling label labels labelled
Synset('datum.n.01')	datum data
Synset('high.a.02')	high highest higher
Synset('grant.n.05')	grants grant
Synset('distribution.n.02')	dispersion distribution distributions
Synset('grouping.n.02')	groupings grouping
Synset('stipulate.v.01')	specifies condition conditioned conditions
Synset('store.v.02')	stores stored store storing
Synset('plan.v.01')	planning plans planes planned plan
Synset('steer.v.01')	pointed directed guiding steering steer guided
Synset('workshop.n.01')	shop workshop
Synset('strive.v.02')	reached reaching strained
Synset('setting.n.01')	settings scenes setting scene
Synset('answer.v.03')	answered answering
Synset('play.v.12')	play plays played
Synset('busbar.n.01')	bus buses
Synset('specify.v.03')	define defining defined defines
Synset('postulate.n.01')	postulates postulate
Synset('coordinate.v.02')	coordinate coordinates
Synset('overture.n.03')	advances approaches approach advance
Synset('arrival.n.02')	arrival arrivals
Synset('derivation.n.03')	derivations derivation
Synset('complex.n.03')	complex complexes
Synset('rank_and_file.n.01')	ranks rank
Synset('groove.n.01')	channels channel
Synset('trace.n.01')	hints hint
Synset('subscript.n.01')	subscripts subscript inferior
Synset('solicitation.n.02')	collections collection
Synset('lip.n.01')	lip lips
Synset('process.n.02')	process processes operations operation
Synset('overlap.v.02')	overlap overlaps overlapped
Synset('university.n.02')	universities university
Synset('allowance.n.03')	adjustments adjustment
Synset('summons.n.03')	process processes
Synset('framework.n.03')	framework frameworks
Synset('standardization.n.02')	normalisation normalization
Synset('hybrid.n.03')	hybrid cross crosses
Synset('think.v.03')	thought thinks thinking
Synset('figure.n.06')	figure figures
Synset('strong.a.01')	strong stronger strongest
Synset('call.v.02')	call called
Synset('status.n.01')	positions position status
Synset('dimension.n.01')	dimension dimensions
Synset('work.v.01')	worked working
Synset('utility.n.06')	utility utilities
Synset('service.n.11')	service services
Synset('decisiveness.n.01')	decision decisions
Synset('spend.v.01')	spends spent spend
Synset('neuroscience.n.01')	neurosciences neuroscience
Synset('undertake.v.01')	attempting undertaken attempted attempt attempts
Synset('power_system.n.01')	grid grids
Synset('spot.v.04')	blobs blob
Synset('city.n.02')	cities city
Synset('invertebrate.n.01')	invertebrate invertebrates
Synset('micron.n.01')	microns micron
Synset('cylinder.n.02')	cylinder cylinders
Synset('rout.v.02')	routed routing
Synset('counter.n.02')	counters counter
Synset('remove.v.02')	removed removes removing remove
Synset('represent.v.09')	interpreting interpret interprets interpreted
Synset('initialize.v.01')	initialised initialized initializing initialize
Synset('transistor.n.01')	transistors transistor
Synset('win.v.01')	wins winning won win
Synset('improvement.n.01')	advances improvement advance improvements
Synset('reflect.v.07')	reflect reflected reflecting reflects
Synset('system.n.02')	system systems
Synset('consider.v.09')	considers considered
Synset('refine.v.06')	refines refined refine refining
Synset('arm.n.01')	arms arm
Synset('recuperate.v.04')	recovers recovering recovered
Synset('substitution.n.02')	substitution substitutions exchange
Synset('monkey.n.01')	monkeys monkey
Synset('complement.v.01')	complements complemented complement
Synset('gyroscope.n.01')	gyroscope gyro
Synset('lie.n.03')	lie lies
Synset('transformation.n.02')	transformations transformation
Synset('restore.v.01')	reconstructed reconstructing restore reconstructs restored reconstruct
Synset('report.v.01')	reports accounted describing report reported describe accounts accounting reporting account describes
Synset('hand.n.06')	deal deals hand
Synset('replace.v.01')	replaces replace replaced replacing
Synset('enable.v.01')	enabling enable enabled enables
Synset('desire.v.03')	desire desired
Synset('forward.n.01')	forwards forward
Synset('propagate.v.07')	propagating propagate propagates propagated
Synset('succession.n.03')	sequence sequences
Synset('perform.v.01')	performs performing perform performed
Synset('denote.v.01')	denoting denote denotes denoted
Synset('stay.n.03')	stays stay
Synset('react.v.02')	opposed opposing reacting react
Synset('proof.n.02')	proofs proof
Synset('indicator.n.04')	indicator indicators
Synset('month.n.02')	months month
Synset('mechanism.n.05')	mechanism mechanisms
Synset('date.n.06')	date dates
Synset('levy.v.01')	imposed imposes impose
Synset('give.v.03')	gave giving
Synset('admit.v.01')	acknowledge acknowledged acknowledges
Synset('station.n.03')	station stations
Synset('deformation.n.02')	deformations deformation
Synset('contrast.n.05')	contrast contrasts
Synset('committee.n.01')	committee committees
Synset('marker.n.01')	marker markers
Synset('cleanse.v.01')	cleaning cleaned
Synset('decay.v.03')	decayed decaying
Synset('rise.n.02')	ascent rise ascending rises
Synset('neurotransmitter.n.01')	neurotransmitters neurotransmitter
Synset('perturbation.n.04')	perturbation perturbations
Synset('realize.v.06')	realised realizes realized realizing realize
Synset('personal_computer.n.01')	pcs pc
Synset('emerge.v.04')	emerge emerges emerged emerging
Synset('concentration.n.01')	concentrations concentration
Synset('protein.n.01')	proteins protein
Synset('improvement.n.02')	improvement improvements
Synset('derivative_instrument.n.01')	derivatives derivative
Synset('build.v.07')	build builds
Synset('scale.n.06')	scales scale
Synset('predictor.n.03')	predictors predictor
Synset('year.n.03')	year years
Synset('qi.n.01')	chi qi ki
Synset('large.a.01')	larger largest big biggest large bigger
Synset('involve.v.06')	involved involves involve involving
Synset('react.v.03')	reacting react
Synset('probe.n.01')	investigations investigation
Synset('dollar.n.01')	dollars dollar
Synset('shaping.n.01')	defining shaping
Synset('property.n.02')	property properties
Synset('temperature.n.01')	temperatures temperature
Synset('save.v.02')	saving saved preserved save preserves savings preserve preserving
Synset('set.n.01')	set sets
Synset('boost.v.05')	boosting boost boosted
Synset('stand.v.06')	stands stand
Synset('density.n.01')	density densities
Synset('triple.n.01')	triples triple
Synset('refine.v.03')	refines refined refine refining
Synset('equate.v.02')	equate equating
Synset('amplifier.n.01')	amplifiers amplifier
Synset('mission.n.03')	mission charge
Synset('suppress.v.01')	inhibiting inhibited inhibit inhibits suppressed suppress suppresses
Synset('wood.n.08')	woods wood
Synset('prototype.n.01')	prototypes prototype
Synset('department.n.02')	departments department
Synset('low-level_formatting.n.01')	initialisation initialization
Synset('order.v.05')	ordering orderings
Synset('release.v.09')	release freed free released
Synset('shift.v.05')	shifted shifting
Synset('meet.v.09')	meets meet met meeting
Synset('rest.v.08')	rest resting
Synset('swing.v.01')	swing swinging
Synset('scale.v.02')	scaling scaled scales scale
Synset('edge.n.06')	edge edges
Synset('associate.n.01')	associates associate
Synset('property.n.05')	prop property properties
Synset('automatize.v.02')	automated automate
Synset('disadvantage.n.01')	disadvantage disadvantages
Synset('verb.n.02')	verb verbs
Synset('shunt.n.02')	bypass shunt
Synset('mask.v.02')	masks mask
Synset('teacher.n.01')	teacher teachers
Synset('decision.n.03')	decision decisions
Synset('ratio.n.01')	ratios ratio
Synset('window.n.08')	window windows
Synset('weakness.n.03')	weakness weaknesses
Synset('coin.n.01')	coins coin
Synset('oregon.n.01')	ors oregon
Synset('give.v.01')	give gave giving
Synset('tour.n.01')	tours tour
Synset('strain.v.03')	extend extends extending extended
Synset('glomerulus.n.01')	glomeruli glomerulus
Synset('initiate.v.03')	initiated initiating
Synset('roll_up.v.02')	accumulate collected accumulates collecting accumulated accumulating
Synset('mixture.n.01')	mixture mixtures
Synset('benefit.n.01')	benefits benefit
Synset('realization.n.03')	realisation realizations realization
Synset('ground.n.09')	grounds earth ground
Synset('transition.v.02')	transitions transition
Synset('rubidium.n.01')	rb rbs
Synset('concentration.n.03')	concentrations concentration
Synset('lower_berth.n.01')	lower lowers
Synset('topic.n.02')	issue matters subject topics subjects topic matter issues
Synset('unwrap.v.02')	broken discover discovering discovered reveal breaks break revealing reveals discovers unwrapped expose revealed exposed breaking
Synset('route.v.02')	routed routing
Synset('attack.v.05')	attacks attack attacked
Synset('path.n.02')	path paths
Synset('style.n.05')	styles style
Synset('time_interval.n.01')	intervals interval
Synset('factorize.v.01')	factorized factorize
Synset('consequence.n.02')	consequence consequences
Synset('delete.v.01')	cancel canceling cancels deleting cancelled delete
Synset('quantify.v.02')	measured quantify quantifying quantified measuring quantifies
Synset('member.n.01')	members member
Synset('notice.v.04')	acknowledge acknowledged noticed acknowledges notice
Synset('belief.n.01')	beliefs belief
Synset('property.n.04')	attributes attribute dimension dimensions
Synset('shape.v.03')	forming formed
Synset('chain.n.03')	chain chains
Synset('word.n.07')	words word
Synset('overstate.v.01')	amplifying magnified amplified amplifies magnifying amplify
Synset('cardiac_arrhythmia.n.01')	arrhythmias arrhythmia
Synset('surround.v.01')	border surrounding surrounded ringing ring borders environ
Synset('attack.v.03')	attack attacked
Synset('routine.n.01')	routine routines
Synset('verb.n.01')	verb verbs
Synset('molecule.n.01')	molecules molecule
Synset('understudy.v.01')	alternating alternates
Synset('proportion.n.01')	proportion proportions
Synset('stimulation.n.03')	stimulations stimulation
Synset('scan.v.05')	scans scanned scan
Synset('transfer.v.01')	transferring transferred transfer
Synset('act.v.08')	act acts acting
Synset('ingredient.n.03')	ingredient ingredients
Synset('muscleman.n.01')	muscles muscle
Synset('manage.v.02')	managed handled managing care manage
Synset('model.n.07')	models model
Synset('study.v.03')	considers considered
Synset('average.v.02')	averaging averages averaged
Synset('observation.n.01')	observation observations
Synset('volume.n.06')	intensity volume
Synset('realization.n.04')	realisation realizations realization
Synset('demand.n.02')	demand demands
Synset('develop.v.19')	developing develop developed develops
Synset('pairing.n.02')	pairing pairings
Synset('mind.n.06')	idea ideas
Synset('sequence.v.02')	sequence sequences sequencing
Synset('vicinity.n.01')	neighbourhood locality vicinity
Synset('copy.n.02')	copies copy
Synset('quality.n.01')	qualities quality
Synset('spike.n.02')	spikes spike
Synset('record.v.01')	entering enters enter entered
Synset('mutation.n.02')	mutation mutations
Synset('poor.a.04')	poorer poor
Synset('gene.n.01')	genes gene factor factors
Synset('low.a.02')	low lower lowest
Synset('system.n.06')	system systems
Synset('fire.v.06')	firings fired fires firing fire
Synset('communicate.v.05')	communicate communicated communicating
Synset('remark.n.01')	input comments inputs remark remarks
Synset('find.v.05')	found finds find finding
Synset('generate.v.01')	generates generated generating generate
Synset('guarantee.n.02')	guarantee guarantees
Synset('sow.v.01')	seed seeds
Synset('man.n.03')	men man
Synset('outline.n.01')	outlines outline
Synset('construct.v.03')	constructing constructed construct constructs
Synset('presentation.n.07')	presentation presentations
Synset('tableland.n.01')	plateaus plateau
Synset('adjust.v.05')	adjust adjusted adjusting adjusts
Synset('relax.v.07')	relaxed relax
Synset('power.v.01')	power powers
Synset('equation.n.01')	equations equation
Synset('inhibit.v.02')	inhibited inhibit
Synset('trailing.n.01')	trailing tracking
Synset('study.v.02')	study studying studied studies
Synset('smell.n.01')	odors odor
Synset('paper.n.01')	paper papers
Synset('resource.n.02')	resource resources
Synset('receive.v.02')	obtains obtain incurred obtained obtaining
Synset('impute.v.01')	attributes attribute
Synset('perspective.n.02')	perspectives perspective
Synset('usher.v.01')	usher shows shown showed show showing
Synset('learning.n.01')	learning acquisition
Synset('shape.n.01')	configuration configurations conformation contours contour
Synset('discount.v.02')	discounted discounting
Synset('width.n.01')	width widths
Synset('significant.a.01')	important significant
Synset('grid.n.04')	grid grids
Synset('grammar.n.01')	grammar grammars
Synset('insufficient.a.01')	insufficient deficient
Synset('organize.v.04')	coordinate co-ordinate organized coordinates organizing
Synset('stabilize.v.01')	stabilized stabilizes stabilizing stabilize
Synset('integration.n.01')	integrating integration
Synset('security_service.n.01')	mis mi
Synset('normalize.v.01')	normalised normalizing normalized normalizes normalize normalising
Synset('travel.v.06')	travelling travels traveling travel
Synset('guidance.n.01')	directions guidance direction
Synset('fall.v.03')	falling falls fall
Synset('convolve.v.01')	convolved convolving
Synset('document.v.02')	documents document documented
Synset('score.v.06')	scoring scored
Synset('run.v.03')	pass leading run led lead extended running extend extends passes leads passed passing runs ran extending
Synset('unit.n.03')	unit units
Synset('opportunity.n.01')	opportunity opportunities
Synset('resemble.v.01')	resembles resembled resembling resemble
Synset('convert.v.01')	converted converting convert converts
Synset('submit.v.02')	stating stated
Synset('slice.v.02')	slices slicing slice
Synset('geometry.n.01')	geometries geometry
Synset('stimulation.n.01')	stimulations stimulation
Synset('modulation.n.02')	modulation modulations
Synset('organ.n.01')	organ organs
Synset('ion.n.01')	ion ions
Synset('landscape.n.01')	landscapes landscape
Synset('implement.n.01')	implements implement
Synset('legal_action.n.01')	action actions
Synset('strategy.n.02')	strategies strategy
Synset('rat.n.01')	rat rats
Synset('spindle.n.03')	arbors arbor
Synset('clause.n.01')	clause clauses
Synset('misplace.v.01')	lost lose loses losing
Synset('pipeline.n.02')	pipeline pipelines
Synset('converge.v.04')	converged converges converge converging
Synset('shape.n.02')	shape shapes
Synset('ring.v.06')	ringing rings ring
Synset('number.n.01')	figure figures 2000
Synset('affect.v.02')	affect affecting affects
Synset('representation.n.04')	agency agencies representations representation
Synset('specialization.n.03')	differentiation specialization
Synset('three-d.n.01')	3d 3-d
Synset('size.n.01')	size sizes
Synset('text_file.n.01')	documents document
Synset('alignment.n.02')	alignments alignment
Synset('represent.v.12')	represents representing represented
Synset('submission.n.01')	entry entries
Synset('distance.n.01')	distances distance
Synset('receptor.n.01')	receptor receptors
Synset('difference.n.01')	differences difference
Synset('phase.n.02')	phase form phases forms
Synset('nucleus.n.04')	nuclei nucleus
Synset('movement.n.03')	motion motions movements movement
Synset('question.v.03')	query querying queried queries
Synset('give.v.18')	dedicated devoted committed commit
Synset('pronunciation.n.02')	pronunciation pronunciations
Synset('syndicate.n.01')	family families
Synset('run.v.19')	executed executing executes execute
Synset('option.n.02')	alternative alternatives choices choice
Synset('face.n.07')	face faces
Synset('formula.n.04')	formulae formulas formula
Synset('interval.n.02')	intervals interval
Synset('generate.v.03')	generates generated generating generate
Synset('pick.v.10')	picked pick picks picking
Synset('train.v.08')	trained training train
Synset('switch_over.v.01')	switching switched switch
Synset('relax.v.05')	relaxed relaxes relax relaxing
Synset('modify.v.01')	modify modifies modified modifying
Synset('relegate.v.04')	classify classifies classifying
Synset('equation.n.03')	equations equation equating
Synset('command.n.02')	command commands
Synset('definition.n.01')	definition definitions
Synset('overshadow.v.01')	dominated dominating dominates dominate
Synset('variety.n.03')	varieties variety
Synset('pay.v.09')	paid pay pays
Synset('duration.n.01')	duration durations
Synset('build.v.05')	build built builds
Synset('memorize.v.01')	learned learn memorizing learning memorize memorized
Synset('wish.v.02')	wished wishes
Synset('acceleration.n.01')	acceleration accelerations
Synset('processor.n.01')	processors processor
Synset('get.v.01')	acquiring acquire acquired
Synset('grade.v.04')	grade graded
Synset('skill.n.01')	skills skill acquisition
Synset('repeat.v.04')	repeats repeat repeated
Synset('class.n.07')	classes class
Synset('comparison.n.01')	comparison comparisons
Synset('visit.n.01')	visits visit
Synset('expectation.n.03')	expectation expectations
Synset('matter.n.03')	matters matter
Synset('ration.v.01')	rations ration
Synset('simple.a.01')	simplest simple simpler
Synset('trial.n.04')	trials trial
Synset('articulator.n.02')	articulator articulators
Synset('restrain.v.04')	constrain constrains constrained
Synset('representation.n.01')	representations representation
Synset('populate.v.01')	lived live
Synset('acoustic.n.01')	acoustics acoustic
Synset('turn.v.01')	turned turning turn turns
Synset('dominance.n.02')	controls control dominance
Synset('harmony.n.03')	harmonies harmony
Synset('press_out.v.03')	expressing express expressed
Synset('meet.v.07')	gathered assembled
Synset('european_union.n.01')	eu ec
Synset('passing.n.03')	passage passing
Synset('limit.n.01')	boundary bounds boundaries
Synset('syllable.n.01')	syllable syllables
Synset('disturbance.n.05')	disturbance disturbances
Synset('train.v.09')	trained training train
Synset('district_of_columbia.n.01')	dcs dc
Synset('govern.v.04')	governing govern governs governed
Synset('pursue.v.02')	pursue pursued follow
Synset('decoder.n.01')	decoders decoder
Synset('roast.n.01')	joint joints
Synset('obstruct.v.03')	blocked blocking blocks
Synset('reach.v.04')	reached reaching
Synset('index.n.04')	indices indexes index
Synset('summation.n.04')	additions summations summation addition
Synset('operate.v.03')	controlled operate operates operating
Synset('respect.n.01')	regard respect respects
Synset('two.n.01')	ii 2s
Synset('operator.n.02')	manipulators operators manipulator operator
Synset('satisfy.v.01')	fulfill satisfies satisfy satisfied fulfills fulfilled satisfying
Synset('supply.v.01')	providing provide rendered supplied supplies provided supplying supply render
Synset('resource.n.01')	resource resources
Synset('watt.n.01')	watts ws
Synset('hair.n.01')	hair hairs
Synset('punish.v.01')	penalizing penalize penalized penalizes
Synset('unit.n.05')	unit units
Synset('review.v.01')	reviewing reviewed
Synset('build.v.04')	build built
Synset('mimic.v.01')	mimics mimicking mimic
Synset('significance.n.02')	significance implications implication
Synset('produce.v.02')	created create creates
Synset('flower.n.02')	flowers flower
Synset('specialize.v.01')	specialized narrow
Synset('transfer.v.06')	transferring transferred transfer change changing changed
Synset('fail.v.08')	fail failed fails
Synset('magnify.v.01')	magnified amplified magnifying amplify
Synset('saturate.v.01')	saturate saturates saturated saturating
Synset('script.n.01')	books book scripts script
Synset('read.v.03')	read reads reading
Synset('body.n.02')	bodies body
Synset('watchfulness.n.01')	alertness vigilance
Synset('presentation.n.03')	presentation presentations
Synset('restriction.n.03')	restriction restrictions
Synset('call.v.22')	call called
Synset('question.v.01')	question questions
Synset('quantization.n.01')	quantisation quantization
Synset('writer.n.02')	writers writer
Synset('variation.n.08')	variations variation
Synset('profit.v.01')	benefited benefit
Synset('step.n.04')	step steps
Synset('scale.v.08')	scaling scales scale
Synset('store.n.02')	stores store
Synset('correlate.v.02')	correlate correlating correlated
Synset('poise.v.04')	balancing balanced
Synset('violation.n.02')	violation violations
Synset('heading.n.01')	head heading heads
Synset('subject.n.06')	cases subject subjects case
Synset('schedule.v.02')	schedule scheduled schedules scheduling
Synset('operator.n.01')	operators operator
Synset('disintegrate.v.03')	decayed decaying decomposes decomposed decompose decomposing
Synset('satisfy.v.02')	satisfies satisfy satisfied satisfying
Synset('playing_period.n.01')	play plays
Synset('reader.n.08')	readers reader
Synset('step.n.03')	step steps
Synset('visit.v.04')	visiting inspecting visited
Synset('reflect.v.06')	reflect reflected reflecting reflects
Synset('design.v.02')	design designs designed
Synset('tone.n.02')	tone tones
Synset('phenomenon.n.01')	phenomenon phenomena
Synset('distortion.n.04')	distortions distortion
Synset('identify.v.06')	identifies identifying identified identify
Synset('share.n.01')	portion percentage percentages portions
Synset('pool.n.09')	pool pools
Synset('categorize.v.01')	categorized categorize
Synset('lend.v.01')	contribute contributing contributes contributed
Synset('estimate.n.04')	estimate estimates
Synset('window.n.01')	window windows
Synset('move.v.02')	move moves moved displaced moving
Synset('successor.n.01')	successor successors
Synset('sunspot.n.01')	sunspot sunspots
Synset('module.n.04')	module modules
Synset('tree.n.01')	tree trees
Synset('violate.v.01')	violated broken violates breaks break violate violating breaking
Synset('focus.v.02')	focussed focused focuses focus focusing
Synset('face.n.08')	face faces
Synset('pennsylvania.n.01')	pennsylvania pa
Synset('score.v.02')	marked scoring marking scored marks mark
Synset('gap.v.01')	gap gaps
Synset('party.n.03')	companies company
Synset('sign.n.01')	marks mark
Synset('avoid.v.01')	avoided avoids avoid avoiding
Synset('lock.v.09')	locking locked
Synset('address.v.10')	addressing addressed
Synset('option.n.01')	options option
Synset('sustain.v.04')	maintains maintain
Synset('statement.n.01')	statement statements
Synset('govern.v.02')	governing govern governs governed
Synset('relation_back.n.01')	relations relation
Synset('correlate.v.01')	correlate correlating correlated
Synset('attraction.n.02')	attraction attractions
Synset('cerium.n.01')	ces ce cesses cess
Synset('snapshot.n.01')	snapshots snapshot
Synset('type.n.06')	types type
Synset('issue.n.01')	issue issues
Synset('strike.v.14')	striking excised scratch
Synset('design.v.03')	design designs designed designing
Synset('view.n.03')	sight surveys survey
Synset('offer.v.01')	offer offers offered
Synset('collision.n.02')	collision collisions
Synset('convert.v.06')	converted converting convert converts
Synset('stone.n.06')	pit stone
Synset('compound.v.05')	combining combined
Synset('clarify.v.02')	clarify clarified
Synset('window.n.02')	window windows
Synset('train.v.02')	trained training
Synset('restrict.v.02')	restricts restricting restricted restrict
Synset('forgery.n.02')	forgery forgeries
Synset('musical_instrument.n.01')	instruments instrument
Synset('gain.n.04')	gains gain
Synset('regularity.n.02')	regularities regularity
Synset('extradite.v.01')	deliver delivered delivers
Synset('reproduce.v.02')	reproduce multiplying multiplied reproducing multiplies reproduced reproduces multiply
Synset('intersect.v.01')	intersect intersects
Synset('body.n.04')	bodies body
Synset('stream.v.01')	stream streams
Synset('restriction.n.01')	restriction restrictions
Synset('electrode.n.01')	electrode electrodes
Synset('corporation.n.01')	corp corporation
Synset('unit.n.02')	unit units
Synset('trust.v.01')	relies relied rely relying
Synset('pertain.v.02')	pertaining pertain
Synset('probe.v.02')	probing probed probe
Synset('factorization.n.01')	factoring factorization
Synset('index.n.01')	indices index
Synset('turn_back.v.05')	invert inverting reversing reversed
Synset('pawl.n.01')	clicks click
Synset('representation.n.10')	representations representation
Synset('review.v.04')	refreshed refresh
Synset('associate_degree.n.01')	associates associate
Synset('successor.n.03')	successor successors
Synset('influence.n.04')	influences influence
Synset('tail.n.05')	shadow shadows
Synset('neglect.v.04')	neglected neglecting disregard ignore ignoring
Synset('technology.n.01')	technologies engineering technology
Synset('motor.n.01')	motor motors
Synset('converge.v.03')	converged converges converge converging
Synset('tuck.v.01')	inserted inserting
Synset('subtract.v.02')	subtracting subtract subtracted subtracts
Synset('speciate.v.01')	specialized differentiate differentiated differentiating specialize
Synset('retrieve.v.03')	retrieves retrieve retrieved retrieving
Synset('structure.v.01')	structuring structured
Synset('quantity.n.03')	quantity quantities
Synset('wire.n.01')	wires wire
Synset('process.n.06')	process processes
Synset('drop_curtain.n.01')	drop drops
Synset('represent.v.04')	represents representing represented represent
Synset('survive.v.01')	survive surviving lasted lasting
Synset('ambiguity.n.01')	ambiguity ambiguities
Synset('combine.v.04')	combining combined
Synset('simulate.v.03')	simulating simulate
Synset('fertilize.v.01')	fed feeding feeds
Synset('size.n.02')	size sizes
Synset('rendition.n.04')	interpretation rendering interpretations
Synset('terminology.n.01')	languages terminology language
Synset('generation.n.02')	generation generations
Synset('target.v.01')	pointed directed targeting targeted aimed placing
Synset('primate.n.02')	primate primates
Synset('transportation.n.02')	transfer transfers transport
Synset('undertaking.n.01')	task projects project tasks
Synset('vary.v.03')	varying vary varies varied
Synset('list.v.04')	listed listing
Synset('wound.n.01')	lesions lesion
Synset('grant.n.08')	grants grant
Synset('concentrate.n.02')	concentrates concentrate
Synset('carry.v.05')	carried carries carry carrying
Synset('twilight.n.01')	falls fall
Synset('casting.n.03')	cast casting
Synset('type.n.03')	types type
Synset('lotion.n.02')	application applications
Synset('inhibit.v.03')	inhibiting inhibited inhibit inhibits
Synset('production_line.n.01')	line lines
Synset('actuator.n.01')	actuator actuators
Synset('theory.n.01')	theories theory
Synset('imply.v.01')	implying imply implies
Synset('scale.n.10')	scales scale
Synset('player.n.01')	players player participants
Synset('shrink.v.04')	shrink shrinks
Synset('run.v.01')	running run runs ran
Synset('formula.n.01')	formulas formula
Synset('organize.v.02')	organize organized organizing
Synset('presentation.n.06')	intro introduction
Synset('imply.v.02')	implying implied imply implies
Synset('converge.v.02')	converged converges converge converging
Synset('strengthen.v.01')	strengthening strengthen strengthened
Synset('topographic_point.n.01')	places spot spots place
Synset('survive.v.02')	survive surviving
Synset('cost.n.01')	costs cost
Synset('influence.n.05')	influences influence
Synset('company.n.02')	companies company
Synset('network.n.05')	networks network
Synset('process.n.05')	process processes
Synset('alignment.n.04')	alignments alignment
Synset('resume.v.01')	restart restarted restarts
Synset('shine.v.02')	beams beam
Synset('reduction.n.02')	reductions reduction reducing
Synset('cue.n.01')	cue cues
Synset('tamper.v.01')	monkeys monkey
Synset('orientation.n.03')	orientation orientations
Synset('combine.v.05')	combining combined
Synset('review.v.05')	reviewing reviewed
Synset('probability.n.01')	chance chances probability probabilities
Synset('machine.n.01')	machine machines
Synset('seed.v.05')	seed seeds
Synset('interaction.n.02')	interaction interactions
Synset('interconnection.n.02')	interconnection interconnections
Synset('pose.n.02')	pose poses
Synset('superposition.n.03')	superpositions superposition
Synset('terminal.n.02')	poles terminal pole terminals
Synset('bit.n.06')	bits bit
Synset('feed.v.06')	ate fed feeding feeds
Synset('whole.n.02')	unit units
Synset('coincide.v.03')	coincide coincides
Synset('increase.v.01')	increases increased increasing increase
Synset('underscore.v.01')	emphasizes emphasized emphasize
Synset('source.n.07')	sources source
Synset('review.n.04')	reviews review
Synset('reciprocal.a.01')	mutual reciprocal
Synset('drawing.n.01')	drawings drawing
Synset('association.n.07')	associations association
Synset('investigate.v.02')	investigate investigated investigates
Synset('carry.v.24')	carried carry
Synset('appear.v.06')	appeared appears appearing
Synset('be.v.01')	bandwidth respond frequencies bees
Synset('deteriorate.v.01')	deteriorates deteriorate
Synset('check.v.05')	checking checks checked check
Synset('female.n.01')	females female
Synset('rotational_latency.n.01')	latencies latency
Synset('constant.n.02')	constant fairly constants
Synset('link.n.06')	link links
