Synset('border_on.v.01')	approached approaches approach
Synset('restore.v.05')	restored restoring
Synset('facility.n.04')	facilities facility
Synset('lipoprotein.n.01')	lipoprotein lipoproteins
Synset('product.n.05')	product products
Synset('topographic_point.n.01')	spots place
Synset('survive.v.02')	survive surviving survived
Synset('cost.n.01')	costs cost
Synset('syndrome.n.02')	syndrome syndromes
Synset('influence.n.05')	influences influence
Synset('network.n.05')	networks network
Synset('compromise.v.01')	compromised compromise
Synset('reduction.n.02')	reductions reducing reduction
Synset('organization.n.06')	organization organizations
Synset('titanium.n.01')	ti titanium
Synset('tamper.v.01')	monkeys monkey
Synset('combine.v.05')	combining combined
Synset('suggest.v.05')	evoked suggests suggested suggest suggesting
Synset('outbreak.n.01')	outbreak outbreaks
Synset('review.v.05')	review reviewing reviewed
Synset('probability.n.01')	chance chances probability probabilities
Synset('degree.n.06')	degree degrees
Synset('interaction.n.02')	interaction interactions
Synset('exercise.n.05')	exercises exercise
Synset('explode.v.02')	burst bursting
Synset('terminal.n.02')	terminal pole
Synset('feed.v.06')	fed feeding eating
Synset('whole.n.02')	unit units
Synset('play_along.v.02')	accompanied accompanying
Synset('strain.n.07')	strain strains
Synset('increase.v.01')	increases increased increasing increase
Synset('underscore.v.01')	emphasizes emphasized emphasize
Synset('review.n.04')	reviews review
Synset('spare.v.03')	sparing spared
Synset('suspect.v.01')	suspected suspect
Synset('one-half.n.01')	half one-half
Synset('investigate.v.02')	investigate investigated
Synset('iodine.n.01')	iss iodine
Synset('trace.v.01')	trace traced follow
Synset('procedure.n.04')	procedures procedure
Synset('appear.v.06')	appeared appears
Synset('x_ray.n.01')	x-ray x-rays
Synset('twin.v.04')	twins twin
Synset('shock.n.04')	shock shocks
Synset('female.n.01')	females female
Synset('rotational_latency.n.01')	latencies latency
Synset('drink_in.v.01')	drinking drink
Synset('infection.n.03')	infection infections
Synset('enhance.v.02')	enhancing enhanced enhances enhance
Synset('surface.n.01')	surface surfaces
Synset('service.v.01')	serves served serve serving
